label	message	length	punct
spam	SPECIAL SELECTED: DEAR USER: This is an official communication from the PF department. Your employer has not deposited your PF contribution for the last 3 months. File a complaint immediately or your retirement corpus will be affected. Call immediately!	253	6
ham	Just send a text. We'll skype later.	36	3
ham	Yes baby! We can study all the positions of the kama sutra ;)	61	3
spam	SPECIAL ALERT: Good afternoon, I am an astrologer and I can see from your date of birth that you are entering a challenging financial period. A simple remedy costing Rs 2,100 will protect you. Call me.	201	6
spam	ACT NOW: STOLEN DATA ALERT: Your Aadhaar details were leaked online. Call UIDAI cybercell 1800-UIDAI-HELP immediately to lock your Aadhaar from misuse.	151	6
ham	Good morning, Reminder: Your vehicle is due for service. Book an appointment at the nearest authorized service center. You can also book online through the manufacturer's service portal for priority scheduling. Thanks for your cooperation.	239	7
spam	IMPORTANT NOTICE: SPECIAL ANNOUNCEMENT: You are our 10 lakh subscriber and have won a Samsung Galaxy S24! Call our customer care within 24 hours to arrange free home delivery. Limited time offer!	195	5
ham	As discussed earlier, HR needs all employees to complete the benefits enrollment update by end of this week. Log in to the employee self-service portal and confirm selections for the new plan year before the system closes. Please confirm receipt.	246	5
spam	FINAL WARNING: Hi, I hope I am not bothering you. I am looking for a trustworthy person in your city who could assist with a simple task. I need someone to purchase a specific mobile phone from a local store and I will reimburse the amount plus a nice fee. My location prevents me from doing this myself. Respond urgently!	322	7
ham	Kindly note that As discussed earlier, There is a career fair happening in the main auditorium on 25th March. Over 30 companies will have stalls. Worth going even if just to explore options and collect brochures.	212	4
ham	I cant wait to see you! How were the photos were useful? :)	59	4
ham	How many licks does it take to get to the center of a tootsie pop?	66	1
spam	URGENT: ATTENTION: Dear parent this is an important communication from your child's school. Due to infrastructure development all parents must pay an additional fee of Rs 8,000 by next Friday to avoid inconvenience to the child.	228	6
ham	FYI: The college has introduced biometric attendance from next month. All students must register fingerprints at the IT office before 15th March to avoid attendance marking issues from April onward. Please confirm receipt.	222	4
ham	Shall i get my pouch?	21	1
ham	This is a reminder that Your insurance claim of Rs 45,000 for last month's hospitalisation has been approved. The amount will be credited directly to your registered bank account within 5 to 7 working days.	206	4
ham	Tension ah?what machi?any problem?	34	3
ham	Just to let you know Can you please forward me the notes from last week's team meeting? I was on leave on Thursday and want to catch up on the discussions and decisions made before the standup tomorrow.	202	3
ham	I spoke with the ISO this morning about the congestion issue on the path 26 interface. They expect it resolved by tomorrow but we should keep some backup supply lined up just in case the fix is delayed.	202	2
spam	ATTENTION: IMPORTANT NOTICE: BANK FRAUD ALERT: We have detected an attempt to transfer Rs 89,000 from your account to an unknown number. Call your bank's fraud department immediately to block this transaction now! Time is running out!	234	8
spam	PRIORITY MESSAGE: Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p	154	5
spam	+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50	161	7
spam	ACT NOW: Congratulations dear winner! You have won a fully paid pilgrimage trip to Tirupati Vaishno Devi and Shirdi for 2 persons! Call our travel department at 9999988777 to book your dates.	191	4
ham	Sorry da..today i wont come to play..i have driving clas..	58	6
ham	A bloo bloo bloo I'll miss the first bowl	41	1
ham	Dear user I have shared the project proposal document on SharePoint. Please review and add your comments before Wednesday. The link is https://sharepoint.company.com/sites/project Let me know if you need access.	211	10
ham	Hi team, Welcome to the team! Your orientation is on 1st April at 9:30am. Please report to the reception at our Bangalore office. The address and directions are on the new joiner portal. See you soon. Do let me know if anything is unclear.	239	8
ham	Thanks, I'll keep that in mind	30	2
ham	Then what about further plan?	29	1
ham	Just to let you know that FYI: FYI: Can you send me the latest version of the spark spread model before our executive presentation next week? I need to run sensitivities on gas prices and heat rates for the generation economics section.	236	4
ham	The company has empanelled a new gym facility near the office. Employees can avail a 40% discount on membership. Submit the enrollment form to HR and the discounted amount will be adjusted in salary.	199	4
spam	IMPORTANT NOTICE: CHEAP PETROL: Government scheme allows you to buy petrol at Rs 40 per litre! Only for registered vehicles. Pay Rs 200 registration fee to our agent. Call 9876543210 now.	187	6
ham	Neither [in sterm voice] - i'm studying. All fine with me! Not sure the thing will be resolved, tho. Anyway. Have a fab hols	124	9
spam	DEAR USER: I represent a group of investors looking for reliable people to manage small transactions on their behalf. The work is simple and pays very well. Reply if you want to know more. Call now or miss out!	210	5
ham	Important: This is to inform you that the fee payment portal for semester 3 is now open. Pay your tuition fee of Rs 32,000 at https://fees.manipal.edu by 15th August to avoid late fee charges.	192	9
ham	Awesome, that gonna be soon or later tonight?	45	2
ham	Please be informed that Quick question for you. Is the account number you gave me last week still active? Finance tried to process the payment and it came back. Can you double check and resend the correct details by today?	222	4
spam	DEAR VALUED CUSTOMER: A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611 Call now or miss out!	199	4
spam	DEAR USER: YOU WON Rs 10 LAKH in KBC lucky draw! This is not a joke. Call 09988001122 within 48 hours with your full name and address to collect.	145	4
ham	Am also doing in cbe only. But have to pay.	43	2
ham	No, I was trying it all weekend ;V	34	2
ham	Kindly note that The annual report submission deadline for the research project has been extended by one week. The new deadline is 7th April. Please use this extra time to incorporate reviewer feedback from your guide.	218	3
spam	URGENT: APP TESTER JOB: Earn Rs 15,000 monthly by testing mobile apps from home! No technical knowledge needed. Register at 9876543210. Training provided. Payment weekly via Paytm. Part-time or full-time available!	214	11
spam	FINAL WARNING: FREE MOBILE: Government scheme distributing free 4G smartphones to all farmers and students under PM Digital India scheme. Register by calling 1800-MOBILE with Aadhaar today!	189	5
ham	Erutupalam thandiyachu	22	0
ham	For your information: FYI the natural gas storage report this morning came in above consensus. The bearish implications may warrant a review of our short winter position. Happy to discuss after the morning briefing session. Regards.	232	5
ham	That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.	190	3
spam	SPECIAL ALERT: Dear friend, I run a successful import business and need a trusted partner in India to receive and forward shipments. I will pay you Rs 15,000 per consignment. Call if interested.	194	6
spam	URGENT: DIABETES CURE: Our herbal capsules permanently cure Type 2 diabetes in 60 days. No more insulin or medicine. Thousands cured. Rs 2,999 for 2 months. Call 9988776655 now. Act within 2 hours!	197	9
spam	DEAR USER: SPORTS QUOTA SEAT: Get engineering or medical college admission through sports quota without actually playing any sport! Pay Rs 50,000 to our agent. Call 9876543210 now.	180	6
spam	DEAR VALUED CUSTOMER: Dear friend, I have been trying to contact you regarding a very important and time sensitive matter that could benefit you greatly. Please call me back as soon as possible. It is very urgent.	213	5
spam	LIMITED TIME: FINAL WARNING: GOVERNMENT PLOT: Get free 100 sq ft plot under housing scheme. Pay Rs 500 registration. Call 1800-PLOT-SCHEME before quota fills. Apply today. Only today!	183	10
ham	The entrepreneurship cell is hosting a startup pitch competition on 28th March. Submit your business idea at https://ecell.college.edu/pitch before 20th March. Top 3 teams win cash prizes and mentorship.	203	9
spam	SPECIAL ALERT: Amazon Pay: Rs 4,999 deducted 4 Prime renewal. To cancel & get refund call 1800-AMAZON-HELP within 2 hrs. Ref: AMZ20240315. If already done ignore this message. Do not delay!	189	12
ham	kindly submit your choice of elective subjects for next semester on the academic portal before 25th March. After this date the system will automatically assign available electives based on priority.	198	2
spam	THIS IS TO INFORM YOU: SBI Alert: Dear Customer, your internet banking access blocked due to 3 wrong password attempts. Unblock now by calling 1800-SBI-HELP. Keep your debit card ready for OTP verification. Do not delay!	220	9
ham	I not free today i haf 2 pick my parents up tonite...	53	3
ham	Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.	79	3
spam	LIMITED TIME: Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs	168	9
spam	EXCLUSIVE! JNTU back paper clearance guaranteed! Pay Rs 5000 and clear all backlogs. Contact http://backpaper-clear.net Results updated in university portal within 7 days!	171	9
ham	Following up: FYI: Happy Diwali to you and your family! Hope the year ahead brings you lots of happiness and success. Come over for sweets whenever you are free this week. Looking forward to your response.	205	6
ham	Kindly note that Vacation coverage for next week: Mike handles Portland desk, Sarah covers Southwest, and I will take any escalations from the national accounts. Please direct all urgent matters accordingly during the week.	223	5
spam	SPECIAL ALERT: You have won a brand new Honda City car in our annual bumper draw! Call our reward department at 1800-WIN-CAR to arrange delivery. Bring your ID proof and this message. Only today!	195	7
ham	Following up: Quick update — The regulatory filing deadline is in 10 days. Please get your divisional numbers to me by Friday end of day so that finance has adequate time for consolidation, audit review and final submission.	224	4
spam	URGENT! Download our app and earn Rs 200 daily! tap http://earn-app-india.xyz Install now and start earning from your phone today! Limited time only! Time is running out!	170	11
spam	DEAR USER: EXCLUSIVE OFFER: We tried to reach you multiple times regarding your profile status. kindly contact us back at your earliest convenience to avoid any disruption to your existing services and benefits.	211	4
ham	Quick update — The conference registration fee of Rs 12,000 per person needs to be paid by tomorrow to lock in the early bird rate. This is for the entire team of 8. Please arrange the payment from petty cash. Thanks for your cooperation.	238	5
spam	OFFICIAL COMMUNICATION: Dear Customer, Your Amazon account has been permanently suspended due to multiple policy violations related to fraudulent reviews and fake purchases. Your account balance of Rs 4,230 is currently frozen. To appeal this decision and recover your balance please call our account reinstatement team within 48 hours and provide your complete account details for verification. Limited time only!	414	7
spam	LIMITED TIME: LIMITED TIME: Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p	187	5
ham	Important: Dear student, we are pleased to inform you that Wipro Technologies will be visiting our campus for recruitment on 25th March 2024. Eligible students must register at https://placements.college.edu/wipro	213	9
spam	IMPORTANT NOTICE: URGENT! SWIGGY DELIVERY JOB: Earn Rs 40,000/month delivering food. No experience needed. Apply at http://swiggy-delivery-jobs.xyz Bike required. Register now!	176	15
spam	ACT NOW: Your number was selected in Airtel anniversary draw! Prize Rs 75,000 cash. Call 09876543210 to verify and claim within 24 hours only. Time is running out!	163	6
spam	EXCLUSIVE! VIVA HELP: Pay Rs 3000 and get all questions and answers for your practical viva exam! Contact http://viva-answers-india.net 100% passing guarantee!	159	11
ham	As discussed earlier, Your appeal for re-evaluation has been accepted. Marks in Advanced Mathematics revised from 54 to 71. The updated marksheet will be issued by the examination section by end of this month.	209	5
ham	Dear user Your Zomato order ZOM8956 is confirmed. Estimated delivery time is 35 minutes. Track your order live at https://zomato.com/track/ZOM8956 You can also call the restaurant directly if needed.	199	9
spam	LIMITED TIME: PhonePe: Congratulations! Ur number won Rs 1 lakh in PhonePe 6th anniversary lucky draw. Open PhonePe app & tap CLAIM or call 1800-PHONEPE-WIN. Offer expires 11:59 PM tonight. Call now or miss out!	211	11
spam	BUMPER LOTTERY RESULT: Ticket 9087 first prize Rs 50 lakh. Ticket 4521 second prize Rs 10 lakh. Ticket 7893 third prize Rs 1 lakh. Call 09988001122 to claim if you have these numbers.	183	5
spam	DEAR USER: FREE DATA: Get 100GB free Jio data by calling 1800-JIO-FREE before midnight. Limited offer for selected customers only. Hurry up now! Only today!	156	8
spam	FINAL WARNING: WINNER! You have been selected for a cash reward of Rs 5,00,000. Call 09876543210 now to collect before the offer expires tonight!	145	6
ham	I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl	158	3
spam	EXCLUSIVE OFFER: Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!	164	3
ham	Please be informed that The college principal has approved the proposal for a new innovation lab with 3D printers laser cutters and IoT kits. Construction will begin in April and the lab should be ready by August.	213	2
ham	Friendly reminder: Your FASTag monthly statement for February is ready. Total toll transactions: 12 amounting to Rs 1,890. View detailed transactions through the FASTag app. Top up if balance is below the minimum threshold.	223	7
ham	Ü give me some time to walk there.	34	1
spam	THIS IS TO INFORM YOU: INCOME TAX REFUND: Get your pending IT refund faster! Our chartered accountants file revised returns and expedite refunds. Fee Rs 999 only. Call 9988776655. Average client gets refund in 15 days. Act within 2 hours!	238	8
ham	Please note: I wanted to follow up on our discussion from yesterday about the California power market situation. The regulatory environment is shifting quickly and I think we need to review our hedging positions.	212	3
spam	URGENT: GOVT SCHEME: Free gas cylinder for all BPL families. Call 1800-FREE-GAS with Aadhaar number before 31st March. Limited cylinders available. Respond urgently!	165	8
ham	Important: The college placement office has released the list of companies visiting campus in April. Check the complete schedule at https://placements.college.edu/schedule and ensure your profile is updated.	207	9
spam	THIS IS TO INFORM YOU: DEAR USER: ENTRANCE EXAM EXEMPTION: Get direct admission to nursing pharmacy and law colleges without entrance exam. Our agents have contacts in admission committees. Call 9876543210. Offer expires tonight!	229	7
spam	Dear sir, we have been trying to reach you about a financial matter in your name. Please contact back at the earliest to avoid unnecessary complications. This is time sensitive.	177	4
spam	FREE SOLAR PANEL under government scheme! Zero cost installation. Register by calling 1800-SOLAR before 31st March deadline. Apply now. Last opportunity!	153	6
spam	Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+	152	6
spam	ACT NOW: STUDENT LOAN: Get Rs 10 lakh education loan without income proof or collateral! Only Aadhaar PAN and college letter needed. Processing fee Rs 2,000. Call 9876543210 today!	180	7
ham	The professor said the exam will have questions directly from the problem sets she gave us. So make sure you have solved all of them. I can share my solutions if you want to compare before the test.	198	3
ham	Good morning, The company is organizing a team outing on 23rd March. kindly register your participation through the HR events portal before 15th March. Seats are limited and will be allotted on first come basis.	211	4
ham	Following up: The semester examination timetable has been published on the student portal. Please download and note your schedule carefully. Any clashes should be reported to the examination section immediately. Kindly revert at the earliest.	242	5
spam	SPECIAL ALERT: SPORTS QUOTA SEAT: Get engineering or medical college admission through sports quota without actually playing any sport! Pay Rs 50,000 to our agent. Call 9876543210 now.	184	6
spam	DEAR SIR/MADAM: ACT NOW! THESIS WRITING SERVICE: Get your PhD thesis written by experts! Rs 50,000 finish thesis. Visit http://thesis-writing-india.xyz 100% original work! Last opportunity!	189	16
ham	As discussed earlier, The risk management system upgrade goes live on 1st April. All traders must complete the online training module by 25th March. IT will hold open lab sessions each afternoon for hands-on practice.	217	5
ham	Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?	82	2
ham	Leave it de:-). Start Prepare for next:-)..	43	9
spam	ACT NOW: FREE RECHARGE worth Rs 500 waiting for you! Call 56789 and get instant credit to your mobile. This offer expires in 2 hours. Act now! Offer expires tonight!	165	6
ham	You are a very very very very bad girl. Or lady.	48	2
ham	As discussed earlier The subject topper list for the last semester has been posted on the department notice board. Congratulations to all who topped! Prizes will be distributed at the annual day function.	204	3
spam	EXCLUSIVE OFFER: Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p	178	10
spam	CONGRATULATIONS! You have been selected as our GRAND PRIZE WINNER of Rs 10,00,000! Click here to claim: http://prize-claim-now.xyz Act fast offer expires in 24 hours!	166	12
ham	Please note: Friendly reminder: Just a heads up: two of our counterparties have been flagged by the credit team for elevated risk following recent earnings announcements. We should review exposure limits at this week's risk committee meeting. Let me know if you have questions.	277	7
ham	Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx	125	8
spam	PRIZE NOTIFICATION: Your Paytm number won Rs 1,50,000 in our New Year bumper draw. contact within 24 hours to confirm and collect your prize money.	147	5
ham	Dear colleague, The market intelligence report for the Pacific Northwest region is attached. Hydro conditions are better than forecast which will likely suppress power prices through summer. Let us review the position. Let me know if you have questions.	253	5
ham	Yeah I should be able to, I'll text you when I'm ready to meet up	65	3
ham	Cool, want me to go to kappa or should I meet you outside mu	60	1
ham	FYI: Just a heads up that tomorrow's 8am class has been cancelled. The professor has a meeting with the board. She will reschedule for Friday or next week. Check the portal. Thanks!	181	7
ham	Following up: Vacation coverage for next week: Mike handles Portland desk, Sarah covers Southwest, and I will take any escalations from the national accounts. Please direct all urgent matters accordingly during the week.	220	6
ham	Dear user Photography club announces the results of the inter-college photo contest. View the winning entries at https://photoclub.college.edu/contest2024 Prize distribution ceremony on 22nd March at 3pm.	204	9
spam	YOUR EPF BALANCE can be withdrawn instantly! We process same day. Pay Rs 500 fee. Call 9988776655. UAN not required. 100% guaranteed success. Act within 2 hours!	161	8
spam	URGENT: DEAR USER: TUITION TEACHER JOB: Reputed coaching institute needs home tutors for all subjects. Earn Rs 1500 per hour. Pay Rs 1000 registration. contact 9876543210 to enroll today. Act within 2 hours!	207	8
ham	For your information: Hi team, Maa called and said the function at home is next Sunday. She wants all of us to be there by 10am. Please confirm if you can make it so she can plan the food.	188	5
ham	Just to let you know that Please keep this confidential but the project budget has been revised upward to Rs 45 lakh. We can now proceed with the premium vendor we discussed. Please draft the purchase order today. Let me know if you have questions.	248	4
ham	Please note: The company has announced a new leave policy effective from April. You will receive 2 additional casual leaves and 1 additional sick leave per year. Updated policy document is live on the intranet. Please acknowledge.	230	5
ham	Then wat r u doing now? Busy wif work?	38	2
ham	Please note: The investor has confirmed Rs 50 lakh in funding for our startup. We need to open a company current account immediately. Please bring your ID and the incorporation certificate tomorrow. Best regards.	212	5
ham	This is a reminder that The sprint review meeting is tomorrow at 4pm. Please ensure all pending user stories are updated in Jira before the meeting starts. Demo environments should be ready by 3:30pm.	200	4
spam	IMPORTANT NOTICE: Hello friend, I am stuck at Dubai airport. My wallet and phone were stolen. I need Rs 15,000 urgently to pay the hotel and book a return flight. I will return the money as soon as I reach India.	212	7
ham	Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.	131	5
spam	IMPORTANT NOTICE: WINNER! You have been selected for a cash prize of Rs 5,00,000. Call 09876543210 now to claim before the offer expires tonight! Offer expires tonight!	168	7
spam	Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D	160	6
ham	Kindly be informed that Result for the mid-semester examination has been declared. Login to https://results.bits.ac.in with your ID number to view your marks. Contact your faculty advisor for any discrepancies.	210	10
spam	DEAR VALUED CUSTOMER: FINAL WARNING: HURRY! Your delivery is on hold! Pay Rs 25 customs fee at http://delivery-customs-pay.xyz to release your parcel immediately!	162	11
ham	Jus finished avatar nigro	25	0
ham	This is a reminder that Your nominee details for group term life insurance are incomplete. kindly update through the insurance portal before 31st March to ensure complete coverage for your family under the group policy.	219	2
ham	As discussed earlier, Please note that the expense reimbursement policy has been updated effective April 1st. The per diem for domestic travel has been revised to Rs 2,500 per day. New policy document shared on intranet. Let me know if you have questions.	255	6
spam	EXCLUSIVE OFFER: LIMITED TIME! DISTANCE BTECH available! Get engineering degree from home in 1 year. No exam. Apply http://distance-btech.xyz Rs 8000 only. All state recognized universities! Time is running out!	211	13
spam	OFFICIAL COMMUNICATION: FINAL WARNING: ALERT: You have an unclaimed prize worth Rs 3,50,000 in your name from last year's draw. Call 1800-UNCLAIMED before 31st March or the prize will be forfeited to charity.	208	9
ham	As discussed earlier, Just to let you know that Your Airbnb booking for Goa from 15th to 18th March is confirmed. Check-in time is 2pm. The host will share directions on the day. Have a great trip and explore the beaches around the property. Thanks for your cooperation.	270	7
ham	This is a reminder that This is a reminder that Your monthly bank statement for February is ready. Account balance is Rs 24,567. View detailed transactions by logging in to internet banking. Contact branch if you notice any discrepancy.	236	5
spam	MAKE MONEY FAST: Rs 5000 daily guaranteed by doing simple tasks from home. contact 9988776655 to enroll No investment required. Start now	137	3
spam	FINAL WARNING: Dear sir, kindly contact us at the earliest regarding a pending matter related to your property documents. Our legal team is waiting for your response before proceeding to the next step in the process.	216	4
spam	URGENT: FINAL WARNING: ANGANWADI SUPERVISOR: Government anganwadi supervisor vacancy in your district. Monthly salary Rs 18,000. Pay Rs 3000 to our placement agent. contact 9876543210 immediately.	196	8
spam	SPECIAL ALERT: URGENT! Your mobile No *********** WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm	173	20
ham	Just to let you know that Anti-ragging committee reminds all students that ragging in any form is strictly prohibited. Report incidents through the online portal or call the helpline 1800-180-5522. All complaints are confidential.	230	6
ham	Quick update — Following up: The professor extended the assignment deadline by 2 days due to the server issue last night. New deadline is Thursday 11:59pm. She sent an email just now. Check your inbox.	201	6
spam	SPECIAL ALERT: Your parcel from the United States has been held at customs. There is a customs duty of Rs 1,850 that needs to be paid before we can release the package. Contact our customs clearance office immediately.	218	5
spam	FINAL WARNING: Paytm Alert: Rs 9,999 debited 4 Paytm Mall order. If not done by u CALL 1800-PAYTM-HELP within 1 hr. After 1 hr reversal not possible. Ref: PTM20240315012345. Urgent.	181	11
spam	DEAR USER: EXCLUSIVE OFFER: ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.	180	4
ham	Y so late but i need to go n get da laptop...	45	3
spam	FINAL WARNING: STOCK TIPS: Earn Rs 1 lakh daily with our expert intraday tips. 99% accuracy proven. Pay Rs 2999 monthly. Call 9988776655 to subscribe now. Only today!	166	8
spam	For the most sparkling shopping breaks from 45 per person; contact 0121 2025050 or visit www.shortbreaks.org.uk Offer expires tonight!	134	5
ham	Did either of you have any idea's? Do you know of anyplaces doing something?	76	3
ham	I think asking for a gym is the excuse for lazy people. I jog.	62	2
spam	LIMITED TIME: LIMITED TIME! Download our app and earn Rs 200 daily! Click http://earn-app-india.xyz Install now and start earning from your phone today!	152	10
spam	Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX	145	6
ham	Dear user Dear students, the semester examination timetable has been published on the college website. Please visit https://exam.college.edu/timetable to download your schedule. Exams begin on 15th April.	204	10
spam	Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603	147	4
spam	IMPORTANT NOTICE: important AMAZON work from home jobs! Pack products and earn Rs 20,000/week. No investment. Apply at http://amazon-home-jobs-india.xyz Only 50 spots left! Offer expires tonight!	195	15
ham	Aight, sounds good. When do you want me to come down?	53	3
spam	EXCLUSIVE OFFER: FREE RECHARGE worth Rs 500 waiting for you! Call 56789 and get instant credit to your mobile. This offer expires in 2 hours. Act now! Limited time only!	169	6
ham	Quick update: Your insurance claim of Rs 45,000 for the hospitalisation last month has been approved by the insurer. The amount will be credited directly to your registered bank account within 5 to 7 working days.	213	4
spam	LIMITED TIME: EXCLUSIVE OFFER: accordingly. I repeat, just text the word ok on your mobile phone and send Respond urgently!	123	5
spam	important Your phone number WON our weekly lottery! Rs 25,000 cash prize waiting. confirm at http://lottowin-claim.xyz within 48 hours or reward is forfeited!	158	9
spam	LIMITED TIME! Important: Your PAN card is linked to suspicious transactions. Verify your identity at http://pan-verify-india.xyz or face legal action!	150	10
ham	Just to let you know that The WiFi in hostel Block C has been down since morning. IT helpdesk says it will be fixed by 6pm. Use mobile data till then. Library WiFi is working fine if you need it. Let me know if you have questions.	230	5
ham	Good evening! How are you?	26	2
ham	Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay	112	2
ham	I'm not sure, I was just checking out what was happening around the area	72	2
ham	Kindly be informed that NSS unit of our college is organizing a blood donation camp on 20th March from 9am to 4pm. Register as a donor at https://nss.college.edu/bloodcamp All donors will receive a certificate of appreciation.	226	8
